TradeId,ProductType,Maturity,Strike,NPV_SABR,Vega,MC_StdErr_SABR,PricingTime_s_SABR,NPV_LV,MC_StdErr_LV,PricingTime_s_LV,AbsDiff,RelDiff,ModelError,Passed
VAN_6M_60,Vanilla,6M,60.0,0.0183957968905159,0.6461962758895906,0.0,3.7399000120785786e-05,0.0179072667158442,0.0,0.5707770049998544,0.0004885301746716982,0.02655661929620259,0.0007560089602793821,True
VAN_6M_70,Vanilla,6M,70.0,0.1080264790734166,2.8609366793865694,0.0,3.001000095537165e-06,0.108050725698802,0.0,0.567531209000208,2.4246625385401788e-05,0.0002244507605299565,-8.475065372855666e-06,True
VAN_6M_80,Vanilla,6M,80.0,0.5057057686574955,9.155405692611083,0.0,2.1340001694625244e-06,0.5057846531113502,0.0,0.5715848899999401,7.888445385473286e-05,0.00015598883529477738,-8.616161479157277e-06,True
VAN_6M_90,Vanilla,6M,90.0,1.8470336692938791,20.00351025098612,0.0,1.8719997569860425e-06,1.8473199148560344,0.0,0.5662710599999627,0.00028624556215528507,0.0001549758225385879,-1.4309766564154604e-05,True
VAN_6M_100,Vanilla,6M,100.0,6.175893293548759,28.0410097794217,0.0,1.842999608925311e-06,6.176979209783987,0.0,0.5699893080000038,0.0010859162352279128,0.000175831443908243,-3.872600322777349e-05,True
VAN_6M_110,Vanilla,6M,110.0,2.2862602019622904,24.25179694061308,0.0,1.8619998627400487e-06,2.28668150107477,0.0,0.5685647720001725,0.0004212991124794563,0.00018427434992651165,-1.737187201060269e-05,True
VAN_6M_120,Vanilla,6M,120.0,0.6359363445351777,13.105022262330124,0.0,1.7600000319362152e-06,0.6361084605893135,0.0,0.573949323999841,0.00017211605413580688,0.00027064981521320497,-1.3133594944782946e-05,True
VAN_6M_130,Vanilla,6M,130.0,0.1379424924286719,4.752520391758358,0.0,1.7920001482707448e-06,0.1380647410024376,0.0,0.5686151340000833,0.0001222485737656931,0.0008862285407008003,-2.5722893052219613e-05,True
VAN_6M_140,Vanilla,6M,140.0,0.0251197989168803,1.2874668091358703,0.0,1.722999968478689e-06,0.0251965314004492,0.0,0.5683792529998755,7.67324835688997e-05,0.003054661537013184,-5.959958192662183e-05,True
VAN_1Y_60,Vanilla,1Y,60.0,0.2280517877931136,4.924329419490864,0.0,2.083999788737856e-06,0.2101688833890012,0.0,0.5681356539998887,0.017882904404112415,0.07841597988407621,0.003631541044620318,True
VAN_1Y_70,Vanilla,1Y,70.0,0.6249362419200528,10.856653476359224,0.0,1.7570000636624172e-06,0.6201578520069743,0.0,0.5987884760002089,0.004778389913078551,0.007646203872570162,0.0004401346992868177,True
VAN_1Y_80,Vanilla,1Y,80.0,1.5571249709083514,20.323828235631947,0.0,1.6909998521441594e-06,1.5560356932326591,0.0,0.641468021000037,0.001089277675692335,0.0006995441573690152,5.3596087462626856e-05,True
VAN_1Y_90,Vanilla,1Y,90.0,3.499416076028843,31.46879974394245,0.0,1.7240004126506392e-06,3.49931805903236,0.0,0.6208118059998924,9.801699648281925e-05,2.8009529119512276e-05,3.114735778942027e-06,True
VAN_1Y_100,Vanilla,1Y,100.0,8.995875431864075,39.10414309969923,0.0,1.770999915606808e-06,8.997081676763315,0.0,0.5881538989997352,0.0012062448992402608,0.0001340886618958339,-3.084698458076016e-05,True
VAN_1Y_110,Vanilla,1Y,110.0,4.6457241229903925,38.20196483418492,0.0,1.7689999367576092e-06,4.646270144954552,0.0,0.5901616129999638,0.0005460219641593156,0.00011753215423559165,-1.4293033526660633e-05,True
VAN_1Y_120,Vanilla,1Y,120.0,2.110572451135182,29.443538154255045,0.0,1.7280003703490363e-06,2.110819592492473,0.0,0.6512049709999701,0.0002471413572910919,0.0001170968365280072,-8.393738415414459e-06,True
VAN_1Y_130,Vanilla,1Y,130.0,0.864457213614065,18.498502053083232,0.0,1.725999936752487e-06,0.864631645639042,0.0,0.7292103659997338,0.0001744320249770226,0.00020178213823651123,-9.429521616208335e-06,True
VAN_1Y_140,Vanilla,1Y,140.0,0.3314920537850228,9.978909613756636,0.0,1.840000095398864e-06,0.3316113837506534,0.0,0.5885299970000233,0.00011932996563063236,0.00035997835926413944,-1.1958216904392793e-05,True
VAN_2Y_60,Vanilla,2Y,60.0,1.1359768376844692,16.20852823232566,0.0,1.8730002011579927e-06,0.9834218771122896,0.0,0.568332498000018,0.15255496057217965,0.13429407670242796,0.009412018067620105,True
VAN_2Y_70,Vanilla,2Y,70.0,2.0408912248904096,25.082224920859986,0.0,1.7680004020803608e-06,1.965460776176376,0.0,0.5805374189999384,0.0754304487140336,0.03695956344664278,0.003007326860038672,True
VAN_2Y_80,Vanilla,2Y,80.0,3.534482070004837,35.74933317362871,0.0,1.725999936752487e-06,3.5049131161045106,0.0,0.5675684740003817,0.029568953900326544,0.00836585200170108,0.0008271190334296568,True
VAN_2Y_90,Vanilla,2Y,90.0,5.892307906215562,46.44020736976362,0.0,1.7039997146639507e-06,5.88054732502173,0.0,0.5729057469998224,0.011760581193831499,0.001995921017879213,0.0002532413582952388,True
VAN_2Y_100,Vanilla,2Y,100.0,13.332775280220254,54.23971251230064,0.0,3.506999746605288e-06,13.33123082926258,0.0,0.5790650150001966,0.0015444509576738596,0.00011583867013532577,2.84745417358841e-05,True
VAN_2Y_110,Vanilla,2Y,110.0,8.604183570830292,56.34423468630701,0.0,1.7359998309984803e-06,8.60442344775662,0.0,0.5818689130001076,0.00023987692632765345,2.7879103735173522e-05,-4.25734642884322e-06,True
VAN_2Y_120,Vanilla,2Y,120.0,5.2553536186726895,52.017429601577625,0.0,1.8219998310087249e-06,5.255616384907866,0.0,0.5693079990001024,0.00026276623517684783,4.999972489828629e-05,-5.051503643864757e-06,True
VAN_2Y_130,Vanilla,2Y,130.0,3.085709897220509,43.23884240594333,0.0,1.711000095383497e-06,3.0852410853303973,0.0,0.5887934739998855,0.00046881189011172,0.00015192999527726441,1.0842378380769975e-05,True
VAN_2Y_140,Vanilla,2Y,140.0,1.7768314909442366,33.13564853709505,0.0,1.770999915606808e-06,1.774387164312032,0.0,0.6975120420001986,0.0024443266322047297,0.0013756659788294137,7.376727905199527e-05,True
BAR_Up_120_1Y,Barrier,1Y,100.0,8.912821041273181,0.0,0.0,0.1101713980001477,9.017718359985082,0.0,19.930750488000285,0.10489731871190067,0.011769261182979645,-0.011769261182979645,True
BAR_Up_130_1Y,Barrier,1Y,100.0,8.912821041273181,0.0,0.0,0.1156282040001315,9.017718359985082,0.0,17.491455133999807,0.10489731871190067,0.011769261182979645,-0.011769261182979645,True
BAR_Do_80_1Y,Barrier,1Y,100.0,8.912821041273181,0.0,0.0,0.1146868000000722,9.017718359985082,0.0,17.387216725000144,0.10489731871190067,0.011769261182979645,-0.011769261182979645,True
ASIAN_ATM_1Y,Asian,1Y,100.0,8.912821041273181,0.0,0.0,0.1141060109998761,9.017718359985082,0.0,16.787636520000433,0.10489731871190067,0.011769261182979645,-0.011769261182979645,True
FWDSTART_6M_18M,ForwardStart,6M,100.0,11.159009873495492,0.0,0.0,0.1620571949997611,11.346328949914934,0.0,25.96633970799985,0.1873190764194419,0.01678635278066703,-0.01678635278066703,True
